"Action","Receipt Date","Type","Application Number","Bank Name","Branch Name","Branch Address","City","State","County"
"Consummated/Effective",2020-05-01,"Business Combinations","2020-NE-Combination-313021","Evans Bank, N.A."," "," "," "," "," "
"Consummated/Effective",2020-05-01,"Relocation","2019-NE-Relocation-311576","HSBC Bank USA NA","1185 Avenue of The Americas Branch","1185 AVENUE OF THE AMERICAS","NEW YORK","NY","New York"
"Receipt",2020-05-01,"Branch Establishment","2020-SO-BranchNew-314377","Community NB","Community National Bank","12509 Quaker Avenue","Lubbock","TX","Lubbock"
"Receipt",2020-05-01,"Branch Establishment","2020-CE-BranchNew-314371","First Citizens NB of Upper Sandusky","Delaware Banking Center","45 E. Winter St.","Delaware","OH","Delaware"
"Consummated/Effective",2020-05-01,"Branch Closings","2020-LB-BranchClosing-312644","Santander Bank, NA","Framingham Ctr.","39 EDGELL ROAD","FRAMINGHAM","MA","Middlesex"
"Consummated/Effective",2020-05-01,"Branch Closings","2020-NE-BranchClosing-313031","HSBC Bank USA NA","Legacy Place Branch","11280 LEGACY AVENUE, SUITE 100","PALM BEACH GARDENS","FL","Palm Beach"
"Receipt",2020-05-01,"Branch Closings","2020-NE-BranchClosing-314382","People's United Bank, NA","Manchester South Main Branch","779 South Main St.","Manchester","NH","Hillsborough"
"Receipt",2020-05-01,"Branch Closings","2020-LB-BranchClosing-314372","Bank of America, NA","PWM Charlotte","150 NORTH COLLEGE STREET","CHARLOTTE","NC","Mecklenburg"
"Approved",2020-05-01,"Relocation","2020-CE-Relocation-314228","Lake Forest Bank & TR Company, NA","Waukegan Community Bank","2706 Grand Avenue","Waukegan","IL","Lake"
"Approved",2020-05-04,"Subsidiaries & Equities","2020-LB-Subs&Equities-314241","Fifth Third Bank, NA"," "," "," "," "," "
"Consummated/Effective",2020-05-04,"Subsidiaries & Equities","2020-LB-Subs&Equities-314241","Fifth Third Bank, NA"," "," "," "," "," "
"Receipt",2020-05-04,"Subsidiaries & Equities","2020-WE-Subs&Equities-314388","MetaBank, NA"," "," "," "," "," "
"Receipt",2020-05-04,"Branch Establishment","2020-LB-BranchNew-314391","JPMorgan Chase Bank, NA","Covington Square","SWC SE 272nd Street (aka Hwy 516) and 172nd Ave SE","Covington","WA","King"
"Approved",2020-05-04,"Branch Establishment","2020-LB-BranchNew-314159","JPMorgan Chase Bank, NA","Farrs Bridge Road","SWC Farrs Bridge Road aka Rte 18 and West Parker Rd","Greenville","SC","Greenville"
"Consummated/Effective",2020-05-04,"Branch Closings","2020-SO-BranchClosing-314486","Fifth Dist Svg Bk","Fifth Dist Svg Bk - Mandeville Branch","4650 Highway 22","Mandeville","LA","St Tammany"
"Consummated/Effective",2020-05-04,"Branch Establishment","2020-SO-BranchNew-314961","Fifth Dist Svg Bk","Fifth District Savings Bank - Lakeview Branch","425 Harrison Avenue, Suite 1100","New Orleans","LA","Orleans"
"Receipt",2020-05-04,"Branch Establishment","2020-LB-BranchNew-314392","JPMorgan Chase Bank, NA","Gastonia","NEC Cox Road and E Franklin Blvd","Gastonia","NC","Gaston"
"Receipt",2020-05-04,"Branch Closings","2020-SO-BranchClosing-314425","Grand Bk For Svg FSB","Grand Bk For Svg Fsb - Petal Branch","226 Highway 42","Petal","MS","Forrest"
"Receipt",2020-05-04,"Branch Establishment","2020-LB-BranchNew-314387","JPMorgan Chase Bank, NA","Harrisburg","SEC Harrisburg Veterans Road and NC Hwy 49","Harrisburg","NC","Cabarrus"
"Consummated/Effective",2020-05-04,"Relocation","2018-LB-Relocation-303745","Wells Fargo Bank, N.A.","Houston Regional Private Banking","4010 SOUTH BRAESWOOD","HOUSTON","TX","Harris"
"Consummated/Effective",2020-05-04,"Branch Establishment","2020-LB-BranchNew-313123","Bank of America, NA","PWM El Segundo","2321 Rosecrans","El Segundo","CA","Los Angeles"
"Consummated/Effective",2020-05-05,"Relocation","2020-HQ-Relocation-313136","ETHIC"," "," "," "," "," "
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313320","Capital One, NA","18th & M NW","1800 M STREET, NW","WASHINGTON","DC","District of Columbia"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313331","Capital One, NA","69TH & 3rd","1180 Third AVENUE@69TH STREET","NEW YORK","NY","New York"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313333","Capital One, NA","Bay Terrace","211-47 26TH AVENUE","BAYSIDE","NY","Queens"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314424","TCF NB","Belding","102 W Main","Belding","MI","Ionia"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313344","Capital One, NA","Bent Tree","17561 DALLAS PARKWAY","DALLAS","TX","Dallas"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314412","TCF NB","Briarwood","125 BRIARWOOD CIRCLE","ANN ARBOR","MI","Washtenaw"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314420","TCF NB","Brighton","8700 North Second Street","Brighton","MI","Livingston"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314404","TCF NB","Clement Manor Branch","3939 SOUTH 92ND STREET","GREENFIELD","WI","Milwaukee"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314405","TCF NB","Clinton Township Branch","24276 HALL ROAD (M-59)","CLINTON TOWNSHIP","MI","Macomb"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314406","TCF NB","Coolidge Highway Branch","1470 COOLIDGE HIGHWAY","TROY","MI","Oakland"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313347","Capital One, NA","Elysian Fields Branch","115 MAIN STREET","ELYSIAN FIELDS","TX","Harrison"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314414","TCF NB","Farmington Branch","22420 FARMINGTON ROAD","FARMINGTON","MI","Oakland"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314413","TCF NB","Ferndale Kroger Branch","8920 W. EIGHT MILE","FERNDALE","MI","Oakland"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314423","TCF NB","Flint W Pierson","G4346 W. Pierson Rd.","Flint","MI","Genesee"
"Approved",2020-05-05,"Branch Establishment","2020-LB-BranchNew-314145","JPMorgan Chase Bank, NA","Gallatin and Greenwood","SEC Gallatin Avenue and Greenwood Avenue","Nashville","TN","Davidson"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313325","Capital One, NA","Great Falls","9863 GEORGETOWN PIKE","GREAT FALLS","VA","Fairfax"
"Approved",2020-05-05,"Relocation","2020-LB-Relocation-314081","Wells Fargo Bank, N.A.","Greeley","1025 NINTH AVENUE","GREELEY","CO","Weld"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313376","Capital One, NA","Haynesville Drive-Up Office","9999 Highway 79","Haynesville","LA","Claiborne"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313375","Capital One, NA","Haynesville Office","1914 Main Street","Haynesville","LA","Claiborne"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313316","Capital One, NA","Homer Office","617 WEST MAIN STREET","HOMER","LA","Claiborne"
"Receipt",2020-05-05,"Branch Closings","2020-LB-BranchClosing-314399","Santander Bank, NA","Londonderry","23 ORCHARD VIEW DRIVE","LONDONDERRY","NH","Rockingham"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313348","Capital One, NA","Longview Branch","1701 NORTH WEST LOOP 281","LONGVIEW","TX","Gregg"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313353","Capital One, NA","Marshall","100 NORTH BOLIVAR STREET","MARSHALL","TX","Tyler"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313337","Capital One, NA","Mill Basin","2102-2128 RALPH AVENUE","BROOKLYN","NY","Kings"
"Consummated/Effective",2020-05-05,"Relocation","2020-HQ-Relocation-313145","ETHIC","None Given","579 Boylston Street","Boston","MA","Suffolk"
"Approved",2020-05-05,"Branch Establishment","2020-LB-BranchNew-314144","JPMorgan Chase Bank, NA","North Quincy","NWC W. Squantum Street and Hancock Street","Quincy","MA","Norfolk"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314407","TCF NB","Northville","39725 SIX MILE ROAD","NORTHVILLE","MI","Wayne"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313310","Capital One, NA","Northwest Office","315 NORTHWEST BOULEVARD","FRANKLIN","LA","St Mary"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313318","Capital One, NA","Oakdale Office","117 NORTH ELEVENTH STREET","OAKDALE","LA","Allen"
"Approved",2020-05-05,"Branch Establishment","2020-LB-BranchNew-314147","JPMorgan Chase Bank, NA","Ponce De Leon","SEC Ponce De Leon Avenue NE and Barnett Street NE","Atlanta","GA","Fulton"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313322","Capital One, NA","Rehoboth","19268 OLD LANDING ROAD","REHOBOTH","DE","Sussex"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314416","TCF NB","Rochester Hills","440 North Main Street","Rochester Hills","MI","Oakland"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314422","TCF NB","Shelby Township","50787 Corporate Drive","Shelby Township","MI","Macomb"
"Approved",2020-05-05,"Branch Establishment","2020-LB-BranchNew-314146","JPMorgan Chase Bank, NA","South Robert Street West St Paul","NWC Mendota Road and South Robert Street aka Hwy 952","Saint Paul","MN","Dakota"
"Receipt",2020-05-05,"Branch Closings","2020-LB-BranchClosing-314402","Santander Bank, NA","Spring Grove","39 WEST HANOVER STREET","SPRING GROVE","PA","York"
"Receipt",2020-05-05,"Branch Closings","2020-LB-BranchClosing-314401","Citizens Bank, NA","State Street Drive-Up","1128 State Street","Erie","PA","Erie"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314419","TCF NB","Sterling Heights","3801 Metropolitan Parkway","Sterling Heights","MI","Macomb"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314403","TCF NB","Suttons Bay St. Joseph Ave","212 St. Joseph Avenue","Suttons Bay","MI","Leelanau"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314421","TCF NB","Three Oaks","11 E. Linden St.","Three Oaks","MI","Berrien"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313342","Capital One, NA","Tribeca","90 WEST BROADWAY","NEW YORK","NY","New York"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314418","TCF NB","Warren E 12 Mile Road","14801 E.12 Mile Road","Warren","MI","Macomb"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314409","TCF NB","Warren Universal Branch","2100 12 MILE ROAD","WARREN","MI","Macomb"
"Withdrawn",2020-05-05,"Branch Closings","2020-LB-BranchClosing-313355","Capital One, NA","West 34th","11097A NORTHWEST FREEWAY","HOUSTON","TX","Harris"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314415","TCF NB","West Bloomfield","7950 West Maple","West Bloomfield","MI","Oakland"
"Receipt",2020-05-05,"Branch Closings","2020-CE-BranchClosing-314411","TCF NB","Westland 2","360 S. MERRIMAN ROAD","WESTLAND","MI","Wayne"
"Consummated/Effective",2020-05-06,"Subsidiaries & Equities","2020-SO-Subs&Equities-314598","Yoakum NB"," "," "," "," "," "
"Receipt",2020-05-06,"Branch Closings","2020-LB-BranchClosing-314431","JPMorgan Chase Bank, NA","Merrick Road & Millang","1696 MERRICK RD, HOLIDAY PARK MALL","MERRICK","NY","Nassau"
"Receipt",2020-05-06,"Branch Closings","2020-SO-BranchClosing-314605","BankUnited, NA","South Beach/Alton Road","1695 ALTON ROAD","MIAMI","FL","Miami-Dade"
"Approved",2020-05-06,"Branch Establishment","2020-WE-BranchNew-313955","Hilltop NB","The Compass at Centennial Hills","4140 Centennial Hills Blvd","Casper","WY","Natrona"
"Receipt",2020-05-06,"Branch Establishment","2020-LB-BranchNew-314299","Fifth Third Bank, NA","West End BC","656 South Main Street","Greenville","SC","Greenville"
"Receipt",2020-05-07,"Subsidiaries & Equities","2020-LB-Subs&Equities-314448","Citibank NA"," "," "," "," "," "
"Receipt",2020-05-07,"Relocation","2020-LB-Relocation-314446","Citizens Bank, NA","Abington","1359 Old York Roads","Abington","PA","Montgomery"
"Receipt",2020-05-07,"Branch Establishment","2020-LB-BranchNew-314433","JPMorgan Chase Bank, NA","Doylestown","NWC North Main Street and Spruce Street","Doylestown","PA","Bucks"
"Receipt",2020-05-07,"Branch Establishment","2020-LB-BranchNew-314438","JPMorgan Chase Bank, NA","Guilderland","NEC Western Avenue and New Kamer Road","Guilderland","NY","Albany"
"Receipt",2020-05-07,"Branch Closings","2020-LB-BranchClosing-314452","Citizens Bank, NA","Hyde Park Shaw's","1377 HYDE PARK AVE","HYDE PARK","MA","Suffolk"
"Receipt",2020-05-07,"Relocation","2020-LB-Relocation-314449","Citizens Bank, NA","Hyde Park Shaw's","1377 HYDE PARK AVE","HYDE PARK","MA","Suffolk"
"Consummated/Effective",2020-05-07,"Branch Closings","2020-CE-BranchClosing-313140","LCNB NB","New Paris Office","201 SOUTH WASHINGTON STREET","NEW PARIS","OH","Preble"
"Receipt",2020-05-07,"Branch Establishment","2020-LB-BranchNew-314432","JPMorgan Chase Bank, NA","Portsmouth","SEC Woodbury Avenue and Commerce Way","Portsmouth","NH","Rockingham"
"Receipt",2020-05-07,"Branch Establishment","2020-LB-BranchNew-314435","JPMorgan Chase Bank, NA","Saint Charles","SEC Zumbehl Road and Regency Parkway","Saint Charles","MO","St Charles"
"Receipt",2020-05-07,"Branch Establishment","2020-LB-BranchNew-314434","JPMorgan Chase Bank, NA","Tualatin Sherwood","SWC SW Tualatin Sherwood Road and SW Boones Ferry Road","Tualatin","OR","Washington"
"Receipt",2020-05-07,"Branch Establishment","2020-LB-BranchNew-314436","JPMorgan Chase Bank, NA","Wethersfield","SWC Mill Street and Silas Deane Highway","Wethersfield","CT","Hartford"
"Receipt",2020-05-08,"Subsidiaries & Equities","2020-LB-Subs&Equities-314456","Capital One, NA"," "," "," "," "," "
"Receipt",2020-05-08,"Subsidiaries & Equities","2020-HQ-Subs&Equities-314463","ETHIC"," "," "," "," "," "
"Withdrawn",2020-05-08,"Branch Establishment","2020-CE-BranchNew-314371","First Citizens NB of Upper Sandusky","Delaware Banking Center","45 E. Winter St.","Delaware","OH","Delaware"
"Receipt",2020-05-08,"Branch Establishment","2020-WE-BranchNew-314457","CIT Bank, NA","Jordan Downs","9901 South Alameda Street","Los Angeles","CA","Los Angeles"
"Consummated/Effective",2020-05-08,"Branch Closings","2020-NE-BranchClosing-313059","People's United Bank, NA","Melville","290 Broadhollow Road, Suite 101E","Melville","NY","Suffolk"
"Consummated/Effective",2020-05-08,"Branch Closings","2020-NE-BranchClosing-313121","People's United Bank, NA","Milford Lorden Branch","606 Nashua Street, Rte 101A","Milford","NH","Hillsborough"
"Consummated/Effective",2020-05-08,"Branch Closings","2020-SO-BranchClosing-314603","First NB of Hughes Springs","Not Given","305 HIGHWAY 59 NORTH","QUEEN CITY","TX","Cass"
"Withdrawn",2020-05-10,"5.53 Substantial Change in Assets","2020-HQ-5.53-313872","Home Fed Bk of Hollywood"," "," "," "," "," "
"Approved",2020-05-11,"Business Combinations","2020-NE-Combination-311909","Community Bank, NA"," "," "," "," "," "
"Approved",2020-05-11,"Business Combinations","2020-CE-Combination-314287","Merchants Bank NA"," "," "," "," "," "
"Consummated/Effective",2020-05-11,"Branch Establishment","2018-NE-BranchNew-304998","Canandaigua NB & TR CO","Brockport Branch","6660 4th Section Road","Brockport","NY","Monroe"
"Receipt",2020-05-11,"Relocation","2020-LB-Relocation-314476","Wells Fargo Bank, N.A.","Coconut Grove","2665 SOUTH BAYSHORE DRIVE","COCONUT GROVE","FL","Dade"
"Receipt",2020-05-11,"Branch Closings","2020-SO-BranchClosing-314486","Fifth Dist Svg Bk","Fifth Dist Svg Bk - Mandeville Branch","4650 Highway 22","Mandeville","LA","St Tammany"
"Approved",2020-05-11,"Branch Establishment","2020-SO-BranchNew-312831","First Liberty NB","First Liberty National Bank Dayton Mortgage Center","900 Highway 146","Dayton","TX","Liberty"
"Receipt",2020-05-11,"Branch Closings","2020-LB-BranchClosing-314469","JPMorgan Chase Bank, NA","Nw 23rd and Lovejoy","950 NW 23RD AVENUE","PORTLAND","OR","Multnomah"
"Receipt",2020-05-11,"Relocation","2020-LB-Relocation-314470","Citibank NA","Rockefeller Plaza Branch","ONE ROCKEFELLER PLAZA","NEW YORK CITY","NY","New York"
"Consummated/Effective",2020-05-11,"Relocation","2020-SO-Relocation-312842","Classic Bank, N. A.","Rosebud, Texas Branch","402 MAIN","ROSEBUD","TX","Milam"
"Receipt",2020-05-12,"Business Combinations","2020-CE-Combination-314530","First NB of Waterloo"," "," "," "," "," "
"Receipt",2020-05-12,"Business Combinations","2020-NE-Combination-314690","Patriot Bank, NA"," "," "," "," "," "
"Approved",2020-05-12,"Relocation","2020-HQ-Relocation-313136","ETHIC"," "," "," "," "," "
"Receipt",2020-05-12,"Subsidiaries & Equities","2020-LB-Subs&Equities-314478","Capital One, NA"," "," "," "," "," "
"Receipt",2020-05-12,"Subsidiaries & Equities","2020-LB-Subs&Equities-314479","Capital One, NA"," "," "," "," "," "
"Consummated/Effective",2020-05-12,"Branch Closings","2019-LB-BranchClosing-311296","Bank of America, NA","Hawk's Prairie - Safeway","1243 MARVIN ROAD N.E.","LACEY","WA","Thurston"
"Approved",2020-05-12,"Relocation","2020-HQ-Relocation-313145","ETHIC","None Given","579 Boylston Street","Boston","MA","Suffolk"
"Approved",2020-05-12,"Branch Establishment","2020-LB-BranchNew-314199","JPMorgan Chase Bank, NA","Pacific Highway and SW Dartmouth Street","SEC Pacific Hwy aka Hwy 99 W and SW Dartmouth St","Tigard","OR","Washington"
"Approved",2020-05-12,"Branch Establishment","2020-LB-BranchNew-314222","JPMorgan Chase Bank, NA","Pentagon City","SEC South Hayes Street and 12th Street South","Arlington","VA","Arlington"
"Approved",2020-05-12,"Branch Establishment","2020-LB-BranchNew-314198","JPMorgan Chase Bank, NA","Rose Crossing","SWC North Rose Avenue and Lockwood Street","Oxnard","CA","Ventura"
"Approved",2020-05-12,"Branch Establishment","2020-LB-BranchNew-314221","JPMorgan Chase Bank, NA","White Oak Shopping Center","NEC New Hampshire Avenue aka Rte 650 and Lockwood Drive","Silver Spring","MD","Montgomery"
"Approved",2020-05-12,"Branch Establishment","2020-LB-BranchNew-314215","JPMorgan Chase Bank, NA","Willlingboro Route 130","SWC Burlington Pike aka Route 130 and Edgewater Blvd","Willingboro","NJ","Burlington"
"Approved",2020-05-12,"Branch Establishment","2020-LB-BranchNew-314262","JPMorgan Chase Bank, NA","Wyandanch Village","SEC Station Drive and Straight Path","Wyandanch","NY","Suffolk"
"Receipt",2020-05-13,"215a-3: Mergers with Non-Bank Affiliates","2020-NE-215a3-314513","Computershare Tr Co NA"," "," "," "," "," "
"Receipt",2020-05-13,"Business Combinations","2020-CE-Combination-314103","First Mid Bank & Trust, NA"," "," "," "," "," "
"Approved",2020-05-13,"Business Combinations","2020-LB-Combination-314186","U.S. Bank NA"," "," "," "," "," "
"Approved",2020-05-13,"Relocation","2020-LB-Relocation-314205","Wells Fargo Bank, N.A.","Cache Valley Mall Branch","1320 NORTH MAIN STREET","LOGAN","UT","Cache"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-314510","Wells Fargo Bank, N.A.","Diablo Ave","900 DIABLO AVE","NOVATO","CA","Marin"
"Receipt",2020-05-13,"Branch Closings","2020-LB-BranchClosing-314510","Wells Fargo Bank, N.A.","Diablo Ave","900 DIABLO AVE","NOVATO","CA","Marin"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-313197","Wells Fargo Bank, N.A.","Eppley Airport","4501 ABBOTT DRIVE, SUITE 2400","OMAHA","NE","Douglas"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-313198","Wells Fargo Bank, N.A.","Hasbrouck Heights","181 BOULEVARD","HASBROUCK HEIGHTS","NJ","Bergen"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-313196","Wells Fargo Bank, N.A.","Kendrick Office","501 EAST MAIN STREET","KENDRICK","ID","Latah"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-314515","Wells Fargo Bank, N.A.","Laguna Niguel Marketplace Branch","27320 ALICIA PARKWAY","LAGUNA NIGUEL","CA","Orange"
"Receipt",2020-05-13,"Branch Closings","2020-LB-BranchClosing-314515","Wells Fargo Bank, N.A.","Laguna Niguel Marketplace Branch","27320 ALICIA PARKWAY","LAGUNA NIGUEL","CA","Orange"
"Receipt",2020-05-13,"Branch Establishment","2020-LB-BranchNew-314507","JPMorgan Chase Bank, NA","Maple Avenue Shopping Center","SEC Maple Avenue East aka Hwy 123 and Glyndon Street SE","Vienna","VA","Fairfax"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-313201","Wells Fargo Bank, N.A.","Mission Oaks Boulevard Branch","5275 MISSION OAK BOULEVARD","CAMARILLO","CA","Ventura"
"Receipt",2020-05-13,"Branch Closings","2020-LB-BranchClosing-314516","Wells Fargo Bank, N.A.","Norristown","43 EAST MAIN STREET","NORRISTOWN","PA","Montgomery"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-313187","Wells Fargo Bank, N.A.","Pocatello Main Office","333 SOUTH MAIN STREET","POCATELLO","ID","Bannock"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-313190","Wells Fargo Bank, N.A.","Texas A & M Corpus Christi","6300 OCEAN DRIVE, UNIVERSITY CENTER, ROOM 108","CORPUS CHRISTI","TX","Nueces"
"Receipt",2020-05-13,"Branch Establishment","2020-LB-BranchNew-314508","JPMorgan Chase Bank, NA","Tysons Greensboro","SWC Greensboro Drive and International Drive aka Hwy 684","McLean","VA","Fairfax"
"Approved",2020-05-13,"Relocation","2020-LB-Relocation-314152","KeyBank NA","University","1300 NE 45TH STREET","SEATTLE","WA","King"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-313189","Wells Fargo Bank, N.A.","Wheatland Branch","874 GILCHRIST STREET","WHEATLAND","WY","Platte"
"Consummated/Effective",2020-05-13,"Branch Closings","2020-LB-BranchClosing-313191","Wells Fargo Bank, N.A.","Wilshire and Western","3800 WILSHIRE BOULEVARD","LOS ANGELES","CA","Los Angeles"
"Approved",2020-05-14,"Business Combinations","2020-SO-Combination-313656","CenterState Bank, NA"," "," "," "," "," "
"Approved",2020-05-14,"Business Combinations","2020-CE-Combination-314183","Hiawatha NB"," "," "," "," "," "
"Receipt",2020-05-14,"Change in Bank Control","2020-NE-CBCA-314526","Blackrock Institutional Tr Co., N.A."," "," "," "," "," "
"Approved",2020-05-14,"Subsidiaries & Equities","2020-HQ-Subs&Equities-314463","ETHIC"," "," "," "," "," "
"Consummated/Effective",2020-05-14,"Subsidiaries & Equities","2020-HQ-Subs&Equities-314463","ETHIC"," "," "," "," "," "
"Consummated/Effective",2020-05-14,"Subsidiaries & Equities","2020-LB-Subs&Equities-314645","Capital One, NA"," "," "," "," "," "
"Receipt",2020-05-14,"Branch Establishment","2020-LB-BranchNew-314454","Santander Bank, NA","Boston - Nubian Square","2181 Washington Street","Roxbury","MA","Suffolk"
"Receipt",2020-05-14,"Branch Closings","2020-LB-BranchClosing-314536","Citizens Bank, NA","Broad and Erie","3711 Germantown Avenue","Philadelphia","PA","Philadelphia"
"Receipt",2020-05-14,"Relocation","2020-LB-Relocation-314535","Citizens Bank, NA","Broad and Erie","3711 Germantown Avenue","Philadelphia","PA","Philadelphia"
"Withdrawn",2020-05-14,"Relocation","2020-LB-Relocation-314535","Citizens Bank, NA","Broad and Erie","3711 Germantown Avenue","Philadelphia","PA","Philadelphia"
"Consummated/Effective",2020-05-14,"Branch Closings","2020-LB-BranchClosing-313273","U.S. Bank NA","Marble Hill Office","107 HIGH STREET","MARBLE HILL","MO","Bollinger"
"Receipt",2020-05-14,"Relocation","2020-LB-Relocation-314533","Citizens Bank, NA","South Hills","1248 South Atherton Street","State College","PA","Centre"
"Consummated/Effective",2020-05-14,"Branch Closings","2020-LB-BranchClosing-313221","PNC Bank NA","Westinghouse","1000 WESTINGHOUSE DRIVE, SUITE 106A","CRANBERRY TOWNSHIP","PA","Butler"
"Consummated/Effective",2020-05-14,"Branch Closings","2020-LB-BranchClosing-313274","U.S. Bank NA","Wheaton Branch","MAIN & REASOR STREETS, P. O. BOX 309","WHEATON","MO","Barry"
"Consummated/Effective",2020-05-15,"5.53 Substantial Change in Assets","2020-HQ-5.53-313605","First Citizens Bk of Polson, NA"," "," "," "," "," "
"Consummated/Effective",2020-05-15,"Business Combinations","2019-WE-Combination-312496","Interim BOSC Bank, NA"," "," "," "," "," "
"Consummated/Effective",2020-05-15,"Business Combinations","2019-CE-Combination-312523","Bank First, NA"," "," "," "," "," "
"Consummated/Effective",2020-05-15,"Business Combinations","2020-SO-Combination-313794","Commercial Bank of Texas, NA"," "," "," "," "," "
"Consummated/Effective",2020-05-15,"Business Combinations","2020-CE-Combination-314287","Merchants Bank NA"," "," "," "," "," "
"Approved",2020-05-15,"Change in Bank Control","2020-NE-CBCA-314526","Blackrock Institutional Tr Co., N.A."," "," "," "," "," "
"Consummated/Effective",2020-05-15,"Change in Bank Control","2020-NE-CBCA-314526","Blackrock Institutional Tr Co., N.A."," "," "," "," "," "
"Consummated/Effective",2020-05-15,"Subsidiaries & Equities","2020-LB-Subs&Equities-314643","Capital One, NA"," "," "," "," "," "
"Receipt",2020-05-15,"Relocation","2020-LB-Relocation-314542","TD Bank, NA","32nd and Park Avenue Branch","475 PARK AVENUE SOUTH","NEW YORK","NY","New York"
"Consummated/Effective",2020-05-15,"Branch Closings","2020-CE-BranchClosing-314544","TCF NB","35th & Southern Branch","6020 SOUTH 35TH AVENUE","PHOENIX","AZ","Maricopa"
"Consummated/Effective",2020-05-15,"Branch Closings","2020-CE-BranchClosing-314545","TCF NB","60th and Greenfield Branch","4330 EAST JUANITA AVENUE","MESA","AZ","Maricopa"
"Consummated/Effective",2020-05-15,"Branch Closings","2020-CE-BranchClosing-314491","TCF NB","75th & Cactus Road Branch","7550 WEST CACTUS ROAD","PEORIA","AZ","Maricopa"
"Receipt",2020-05-15,"Branch Establishment","2020-LB-BranchNew-314540","JPMorgan Chase Bank, NA","Bellevue","SEC Highway 70 S and Coley Davis Road","Nashville","TN","Davidson"
"Consummated/Effective",2020-05-15,"Branch Closings","2020-LB-BranchClosing-313147","PNC Bank NA","Broad & Loudon","4753 NORTH BROAD STREET","PHILADELPHIA","PA","Philadelphia"
"Consummated/Effective",2020-05-15,"Branch Closings","2020-LB-BranchClosing-313148","PNC Bank NA","Brookgate Branch Office","15344 SNOW ROAD","BROOKPARK","OH","Cuyahoga"
"Consummated/Effective",2020-05-15,"Branch Closings","2020-LB-BranchClosing-313154","PNC Bank NA","Brownsboro Road","2790 BROWNSBORO ROAD","LOUISVILLE","KY","Jefferson"
"Consummated/Effective",2020-05-15,"Branch Closings","2020-LB-BranchClosing-313155","PNC Bank NA","Carroll Valley","815 WAYNESBORO PIKE","FAIRFIELD","PA","Adams"
"Consummated/Effective",2020-05-15,"Branch Closings","2020-LB-BranchClosing-313156","PNC Bank NA","Churubusco","101 NORTH LINE STREET","CHURUBUSCO","IN","Whitley"
