"Action","Receipt Date","Type","Application Number","Bank Name","Branch Name","Branch Address","City","State","County"
"Approved",2020-06-02,"Branch Establishment","2020-LB-BranchNew-314364","JPMorgan Chase Bank, NA","Marco Island South","SEC San Marco Road and South Barfield Drive","Marco Island","FL","Collier"
"Approved",2020-06-02,"Branch Establishment","2020-LB-BranchNew-314266","Bank of America, NA","Mayfield Heights","1318 SOM Center Road","Mayfield Heights","OH","Cuyahoga"
"Approved",2020-06-02,"Branch Establishment","2020-LB-BranchNew-314363","JPMorgan Chase Bank, NA","Northport West Villages","SWC US Highway 41 and West Villages Parkway","Venice","FL","Sarasota"
"Consummated/Effective",2020-06-02,"Branch Closings","2020-LB-BranchClosing-313644","U.S. Bank NA","Renton Highlands","2950 NE Sunset Blvd","Renton","WA","King"
"Consummated/Effective",2020-06-02,"Branch Closings","2020-LB-BranchClosing-313600","JPMorgan Chase Bank, NA","Salmon Creek Fred Meyer","800 NE TENNEY RD, STE A","VANCOUVER","WA","Clark"
"Consummated/Effective",2020-06-02,"Branch Closings","2020-LB-BranchClosing-313643","U.S. Bank NA","San Ramon Valley Boulevard Safeway","2505 SAN RAMON VALLEY","SAN RAMON","CA","Contra Costa"
"Consummated/Effective",2020-06-02,"Branch Closings","2020-LB-BranchClosing-314791","JPMorgan Chase Bank, NA","Shasta Way Fred Meyer","2655 SHASTA WAY","KLAMATH FALLS","OR","Klamath"
"Consummated/Effective",2020-06-02,"Branch Closings","2020-LB-BranchClosing-313640","U.S. Bank NA","Wisconsin Rapids Adams","1146 County Road D","Nekoosa","WI","Adams"
"Receipt",2020-06-03,"Relocation","2020-SO-Relocation-314785","First Century Bank, NA"," "," "," "," "," "
"Consummated/Effective",2020-06-03,"Subsidiaries & Equities","2020-LB-Subs&Equities-314899","Capital One, NA"," "," "," "," "," "
"Consummated/Effective",2020-06-03,"Subsidiaries & Equities","2020-LB-Subs&Equities-314900","Capital One, NA"," "," "," "," "," "
"Consummated/Effective",2020-06-03,"Relocation","2020-WE-Relocation-314769","Capitol FSB","Capitol Fsb - Gardner Price Chopper Branch","830 East Main Street","Gardner","KS","Johnson"
"Receipt",2020-06-03,"Relocation","2020-WE-Relocation-314769","Capitol FSB","Capitol Fsb - Gardner Price Chopper Branch","830 East Main Street","Gardner","KS","Johnson"
"Receipt",2020-06-03,"Branch Closings","2020-WE-BranchClosing-314773","Bank of Southern California, NA","Commerce Branch","6001 E Washington Blvd","Commerce","CA","Los Angeles"
"Receipt",2020-06-03,"Branch Closings","2020-SO-BranchClosing-314588","Great Plains NB","Great Plains National Bank","2022 EAST 1110 ROAD","ELK CITY","OK","Beckham"
"Consummated/Effective",2020-06-03,"Branch Closings","2020-LB-BranchClosing-313617","Citizens Bank, NA","Hartford","190 TRUMBULL STREET","HARTFORD","CT","Middlesex"
"Receipt",2020-06-03,"Branch Closings","2020-WE-BranchClosing-314775","Bank of Southern California, NA","Huntington Beach Branch","7711 Center Avenue, Suite 110","Huntington Beach","CA","Orange"
"Receipt",2020-06-03,"Relocation","2020-SO-Relocation-314846","Broadway NB","Kerrville","500 MAIN STREET","KERRVILLE","TX","Kerr"
"Receipt",2020-06-03,"Branch Closings","2020-WE-BranchClosing-314770","Bank of Southern California, NA","Lancaster Branch","539 W. Lancaster Blvd.","Lancaster","CA","Los Angeles"
"Consummated/Effective",2020-06-03,"Branch Closings","2020-LB-BranchClosing-313619","Citizens Bank, NA","Point Place","5150 N. SUMMIT STREET","TOLEDO","OH","Lucas"
"Consummated/Effective",2020-06-03,"Branch Closings","2020-LB-BranchClosing-313618","Citizens Bank, NA","Shelburne","5068 SHELBURNE ROAD","SHELBURNE","VT","Chittenden"
