Action,Date,Type,ApplicationNumber,BranchName,Location,City,State,County,EndCmtPd,Coordinates,BankName
Approved,2020-07-20,Branch Establishment,2020-LB-BranchNew-314982,PWM Kansas City,4600 Madison Avenue,Kansas City,MO,Jackson,2020-07-17,"(39.04454765, -94.5980751784337, 0.0)",U.S. Bank NA
Consummated/Effective,2020-07-21,Branch Establishment,2018-LB-BranchNew-303611,Cedar Knolls Hanover Avenue,190 E Hanover Ave,Cedar Knolls,NJ,Morris,2018-07-05,"(40.81098184954064, -74.46835884890388, 0.0)","JPMorgan Chase Bank, NA"
Consummated/Effective,2020-07-21,Branch Establishment,2019-LB-BranchNew-308308,Fishtown,1502 Franklin Ave,Philadelphia,PA,Philadelphia,2019-05-02,NA,"JPMorgan Chase Bank, NA"
Consummated/Effective,2020-07-21,Branch Establishment,2020-LB-BranchNew-313521,Hughes Landing,2000 Hughes Landing Blvd Ste F-100,The Woodlands,TX,Montgomery,2020-03-29,NA,PNC Bank NA
Consummated/Effective,2020-07-21,Branch Establishment,2018-LB-BranchNew-303002,Hwy 7 and Sheridan,16820 Sheridan Pkwy,Broomfield,CO,Broomfield,2018-05-26,"(39.9577581, -105.0523322, 0.0)","JPMorgan Chase Bank, NA"
Consummated/Effective,2020-07-21,Branch Establishment,2020-LB-BranchNew-313493,Irving,8445 N Belt Line Rd Ste 100,Irving,TX,Dallas,2020-03-29,"(32.8303039, -96.9936643, 0.0)",PNC Bank NA
Consummated/Effective,2020-07-21,Branch Establishment,2019-LB-BranchNew-310235,Parham Rd and Staples Mill Rd,8727 Staples Mill Rd,Richmond,VA,Henrico,2019-08-29,"(37.581603, -77.4933521, 0.0)","JPMorgan Chase Bank, NA"
Approved,2020-07-21,Branch Establishment,2020-LB-BranchNew-314972,The Collective at Canton,NWC Boston Street and South Haven Street,Baltimore,MD,Baltimore City,2020-07-17,NA,"JPMorgan Chase Bank, NA"
Consummated/Effective,2020-07-21,Branch Establishment,2018-LB-BranchNew-303417,Toms River Route 37 W,1095 Route 37 W,Toms River,NJ,Ocean,2018-06-20,"(39.970462, -74.234714, 0.0)","JPMorgan Chase Bank, NA"
Approved,2020-07-23,215a-3: Mergers with Non-Bank Affiliates,2020-NE-215a3-314513, , , , , , ,NA,Computershare Tr Co NA
Approved,2020-07-23,Subsidiaries & Equities,2020-LB-Subs&Equities-315288, , , , , , ,NA,"Fifth Third Bank, NA"
Approved,2020-07-23,Subsidiaries & Equities,2020-LB-Subs&Equities-315289, , , , , , ,NA,"Fifth Third Bank, NA"
Approved,2020-07-23,Subsidiaries & Equities,2020-LB-Subs&Equities-315290, , , , , , ,NA,"Fifth Third Bank, NA"
Approved,2020-07-23,Branch Establishment,2020-LB-BranchNew-314956,Prosperity Church,5920 Highlands Shoppes Dr,Charlotte,NC,Mecklenburg,2020-07-17,NA,"Wells Fargo Bank, N.A."
Approved,2020-07-23,Branch Establishment,2020-LB-BranchNew-314951,The Shoppes at Kingsgate,1319 Kingwood Dr,Kingwood,TX,Harris,2020-07-17,"(30.049351548855306, -95.23374993066423, 0.0)","Wells Fargo Bank, N.A."
Consummated/Effective,2020-07-24,Branch Closings,2020-LB-BranchClosing-314212,South Park Branch,2777 SOUTH PARK ROAD,BETHEL PARK,PA,Allegheny, ,"(40.32774773676558, -80.03326006946001, 0.0)",PNC Bank NA
